"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment"
"42","KAWANA","53503","0.26305067","0.531689812","0.205147375","415","1521","53503","1.768902634","987","676","4952","4094","9068","556","998","10621","0.527064732","0.046795281","0.073580995","57","306","5","17","16254","1050","204","252","197","403","18886","14","0","67","7","7","90","0","9","28","5","34","155","284","15","14","12","43","23246",33285
"43","KEPPEL","54580","0.269879077","0.573671675","0.156430927","300","1657","54580","1.871815807","887","711","4247","3043","9119","618","737","10472","0.577151335","0.052651602","0.079928479","12","443","0","32","16991","1486","235","106","129","540","20158","0","0","3","0","0","3","0","33","24","5","60","119","186","0","12","8","17","24191",31885
"44","LOCKYER","55221","0.279241593","0.579344814","0.141522247","285","1542","55221","2.175097959","652","456","3241","3296","8863","640","850","10357","0.579953917","0.055069124","0.072580645","102","122","3","8","16527","1448","553","27","139","488","19603","10","0","142","25","3","182","0","37","11","0","49","133","359","21","13","3","44","24150",29974
"45","LOGAN","50214","0.294798263","0.592663401","0.112617995","365","1652","50214","2.208684598","514","361","2775","3055","8765","537","821","10133","0.599264124","0.049533154","0.076594398","88","485","0","18","16461","1213","609","41","137","239","19468","34","0","116","15","3","165","0","163","66","12","243","139","550","28","12","6","48","23340",34983
"46","LYTTON","49425","0.256975215","0.582741528","0.160424886","390","1950","49425","1.75287455","1439","846","5677","3958","7134","411","835","8378","0.601311271","0.047026225","0.064392757","1707","271","3","33","15098","1185","189","212","164","429","19543","157","0","226","78","39","491","0","33","21","3","57","191","737","85","12","18","111","23983",33448
"47","MACKAY","43364","0.24349691","0.605594502","0.150654921","250","1596","43364","1.633640114","486","412","3108","2229","7989","439","546","8967","0.582076432","0.049273619","0.104099195","3","369","0","61","13547","1282","134","286","98","581","16533","3","0","3","0","0","6","0","22","13","8","45","133","187","0","10","7","16","19367",31443
"48","MANSFIELD","46906","0.257088645","0.596938558","0.145994116","400","1957","46906","1.811772358","2688","963","7905","3621","4737","361","643","5740","0.571023793","0.04175174","0.072669695","57","2405","3","33","13548","1153","137","136","103","447","18251","72","0","34","0","0","106","0","252","123","33","413","138","656","32","20","10","61","22259",36154
"49","MAROOCHYDORE","52691","0.193752254","0.604904063","0.201134919","350","1468","52691","1.634988041","1355","884","6077","4476","8929","499","989","10414","0.535871986","0.045967468","0.070498547","43","456","0","19","16635","1056","180","316","208","958","20062","4","0","45","0","0","58","0","11","18","14","46","155","256","14","26","10","53","24630",35925
"50","MARYBOROUGH","51102","0.226233807","0.531701303","0.24190834","240","1080","51102","1.772302002","359","408","2317","2747","8897","733","883","10509","0.498195341","0.056327245","0.122826206","7","136","0","28","10745","853","249","179","108","507","12978","0","0","4","0","0","7","0","10","9","3","22","109","133","0","8","0","9","16038",32490
"51","MERMAID BEACH","53648","0.219840441","0.604906054","0.175253504","420","1723","53648","1.765028464","1927","709","6962","4868","7403","382","988","8773","0.556311198","0.042371373","0.064910094","217","387","161","35","17777","1169","150","336","194","723","21341","49","3","70","12","9","141","83","16","25","0","134","205","481","39","26","5","67","26268",32436
