Electorate,TotalEstimatedCost,Party,Safety,Margin,MarginPower,Unnamed: 0,Tot_Population,Under_Age,Working_Age,Retired,Median_rent_weekly,Median_tot_fam_inc_weekly,Tot_P_Need_for_Asstn,Ave_Motor_Vehicle_per_Dwelling,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_P,Full_time_Employ,Employ_away_from_work,Unemploy,One_method_Train_P,One_method_Bus_P,One_met_Tram_incl_lt_rail_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Truck_P,One_method_Bicycle_P,One_method_Other_P,One_method_Walked_only_P,One_method_Tot_one_method_P,Two_methods_Train_Bus_P,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_P,Two_methods_Train_Tot_P,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_P,Tot_P,Enrolment
GLASS HOUSE,3000000,LNP,Fairly Safe,6.86,-6.86,32,55380.0,0.25061394,0.5685626579999999,0.18085951600000003,320.0,1459.0,55380.0,2.1001387730000003,991.0,802.0,4302.0,4265.0,9479.0,631,962.0,11068.0,0.53145098,0.053803922000000004,0.071019608,366.0,135.0,4.0,14.0,15100.0,1141.0,508.0,54.0,161.0,627.0,18276.0,41.0,0,137.0,26.0,16.0,223.0,0.0,6.0,9.0,6.0,20.0,157.0,400.0,69.0,8.0,10.0,81.0,23690.0,34983
GREENSLOPES,21931000,ALP,Safe,20.27,20.27,33,47328.0,0.24063979,0.639156525,0.12033046,370.0,2316.0,47328.0,1.639421401,3065.0,1410.0,9824.0,3601.0,4690.0,337,551.0,5576.0,0.610667065,0.043213565,0.054082319000000004,358.0,3425.0,3.0,54.0,14292.0,1134.0,75.0,506.0,138.0,482.0,20734.0,125.0,0,58.0,16.0,7.0,204.0,0.0,189.0,100.0,32.0,326.0,184.0,714.0,35.0,27.0,10.0,74.0,25323.0,35784
GREGORY,32100000,LNP,Safe,27.88,-27.88,34,41497.0,0.29098489,0.60708003,0.10205557,150.0,1924.0,41497.0,1.94515885,350.0,329.0,2622.0,1890.0,6412.0,496,528.0,7432.0,0.6567135789999999,0.063569798,0.050114112,4.0,581.0,0.0,20.0,11389.0,1102.0,203.0,167.0,257.0,1605.0,15447.0,0.0,0,0.0,0.0,0.0,0.0,0.0,85.0,9.0,6.0,98.0,119.0,219.0,0.0,4.0,19.0,23.0,19971.0,35916
GYMPIE,6999000,LNP,Safe,17.36,-17.36,35,49300.0,0.238458418,0.540283976,0.221095335,255.0,1163.0,49300.0,1.827372304,521.0,485.0,2898.0,3240.0,8446.0,657,846.0,9952.0,0.502431365,0.05642792,0.092391855,7.0,148.0,0.0,17.0,11801.0,964.0,318.0,57.0,143.0,567.0,14148.0,5.0,0,8.0,0.0,0.0,16.0,0.0,10.0,5.0,3.0,23.0,96.0,127.0,0.0,8.0,4.0,16.0,17920.0,31792
HERVEY BAY,50600000,LNP,Safe,18.2,-18.2,36,53035.0,0.22091071899999998,0.49791647,0.281191666,290.0,1093.0,53035.0,1.595002524,641.0,602.0,3435.0,3437.0,8952.0,607,1005.0,10565.0,0.48123929600000004,0.051325964,0.11931081,5.0,121.0,0.0,25.0,11608.0,1003.0,159.0,196.0,129.0,491.0,13912.0,3.0,0,6.0,0.0,0.0,4.0,0.0,7.0,6.0,3.0,22.0,150.0,175.0,4.0,8.0,4.0,16.0,16967.0,32809
HILL,1800000,KAP,Safe,39.5,-39.5,27,48456.0,0.26706703,0.555122173,0.177769523,200.0,1427.0,48456.0,1.850235265,561.0,443.0,3106.0,2520.0,7486.0,526,690.0,8705.0,0.5741109529999999,0.06301564700000001,0.074632527,6.0,279.0,3.0,13.0,11939.0,1160.0,234.0,93.0,213.0,1111.0,15174.0,0.0,0,0.0,0.0,0.0,4.0,0.0,40.0,10.0,3.0,50.0,114.0,163.0,0.0,6.0,8.0,16.0,19520.0,31573
HINCHINBROOK,5113000,KAP,Safe,15.11,-15.11,37,52783.0,0.2585681,0.580205748,0.161396662,275.0,1535.0,52783.0,1.9048270580000002,488.0,426.0,3235.0,2892.0,9897.0,529,685.0,11115.0,0.596434234,0.056232355,0.071779402,3.0,477.0,0.0,18.0,16426.0,1362.0,300.0,134.0,295.0,781.0,20019.0,0.0,0,4.0,0.0,0.0,3.0,0.0,28.0,14.0,0.0,51.0,151.0,208.0,0.0,7.0,11.0,19.0,23999.0,30336
INALA,5689000,ALP,Safe,52.19,52.19,38,58495.0,0.285819301,0.612479699,0.10194033699999999,310.0,1377.0,58495.0,1.777317483,1063.0,470.0,4107.0,3340.0,6704.0,585,752.0,8033.0,0.557690761,0.048484361,0.10975315599999999,887.0,453.0,0.0,29.0,14657.0,1533.0,205.0,101.0,102.0,265.0,18442.0,191.0,0,296.0,63.0,21.0,573.0,0.0,38.0,35.0,7.0,84.0,149.0,803.0,81.0,8.0,6.0,103.0,22143.0,32139
IPSWICH WEST,8700000,ALP,Safe,17.43,17.43,41,55108.0,0.290284532,0.572856935,0.13694926300000002,289.0,1484.0,55108.0,1.943808939,638.0,530.0,3172.0,3489.0,9247.0,689,900.0,10836.0,0.583353255,0.049406327,0.082596223,343.0,120.0,0.0,16.0,16204.0,1099.0,356.0,70.0,123.0,375.0,18919.0,63.0,0,303.0,47.0,11.0,412.0,0.0,17.0,11.0,3.0,30.0,150.0,599.0,64.0,4.0,4.0,68.0,23025.0,34345
JORDAN,9230000,ALP,Safe,19.81,19.81,91,59561.6,0.2981886878,0.5956024114,0.1063000998,334.0,1597.4,59561.6,1.9849531991999998,1126.0,517.4,4327.6,3799.2,8619.4,642,891.2,10152.6,0.5877284664,0.0493898874,0.08662352539999998,614.4,509.8,2.0,24.8,17842.6,1552.2,377.6,62.8,139.6,310.6,21665.2,109.8,0,268.0,51.4,15.6,445.8,0.0,81.6,45.2,8.6,137.6,163.2,746.4,74.4,9.4,6.8,95.2,26121.4,31838
KAWANA,8008000,LNP,Safe,26.14,-26.14,43,53503.0,0.26305067,0.531689812,0.205147375,415.0,1521.0,53503.0,1.768902634,987.0,676.0,4952.0,4094.0,9068.0,556,998.0,10621.0,0.527064732,0.046795280999999994,0.073580995,57.0,306.0,5.0,17.0,16254.0,1050.0,204.0,252.0,197.0,403.0,18886.0,14.0,0,67.0,7.0,7.0,90.0,0.0,9.0,28.0,5.0,34.0,155.0,284.0,15.0,14.0,12.0,43.0,23246.0,31885
KEPPEL,5700000,ALP,Fairly Safe,6.28,6.28,44,54580.0,0.26987907699999997,0.573671675,0.156430927,300.0,1657.0,54580.0,1.871815807,887.0,711.0,4247.0,3043.0,9119.0,618,737.0,10472.0,0.577151335,0.052651602,0.07992847900000001,12.0,443.0,0.0,32.0,16991.0,1486.0,235.0,106.0,129.0,540.0,20158.0,0.0,0,3.0,0.0,0.0,3.0,0.0,33.0,24.0,5.0,60.0,119.0,186.0,0.0,12.0,8.0,17.0,24191.0,29974
KURWONGBAH,5000000,ALP,Safe,13.99,13.99,42,53146.0,0.287585143,0.589602228,0.122944342,345.0,1651.0,53146.0,1.8785926380000002,706.0,599.0,3768.0,3988.0,9325.0,593,876.0,10797.0,0.597282569,0.045806024,0.077177995,1237.0,212.0,3.0,22.0,16687.0,1198.0,301.0,70.0,139.0,259.0,20409.0,213.0,0,390.0,101.0,39.0,745.0,0.0,37.0,7.0,3.0,46.0,164.0,951.0,97.0,10.0,5.0,110.0,25061.0,33285
LOCKYER,11762000,LNP,Fairly Safe,8.15,-8.15,45,55221.0,0.279241593,0.5793448139999999,0.141522247,285.0,1542.0,55221.0,2.175097959,652.0,456.0,3241.0,3296.0,8863.0,640,850.0,10357.0,0.579953917,0.055069124000000004,0.072580645,102.0,122.0,3.0,8.0,16527.0,1448.0,553.0,27.0,139.0,488.0,19603.0,10.0,0,142.0,25.0,3.0,182.0,0.0,37.0,11.0,0.0,49.0,133.0,359.0,21.0,13.0,3.0,44.0,24150.0,34983
LOGAN,3960000,ALP,Safe,13.65,13.65,46,50214.0,0.294798263,0.592663401,0.112617995,365.0,1652.0,50214.0,2.208684598,514.0,361.0,2775.0,3055.0,8765.0,537,821.0,10133.0,0.599264124,0.049533154,0.076594398,88.0,485.0,0.0,18.0,16461.0,1213.0,609.0,41.0,137.0,239.0,19468.0,34.0,0,116.0,15.0,3.0,165.0,0.0,163.0,66.0,12.0,243.0,139.0,550.0,28.0,12.0,6.0,48.0,23340.0,33448
MACALISTER,10320000,ALP,Safe,14.9,14.9,92,63558.6666666667,0.277557514333333,0.564880628666667,0.15755053833333302,373.333333333333,1603.0,63558.6666666667,1.85518155033333,998.333333333333,615.666666666667,4483.666666666671,4638.666666666671,10359.6666666667,697,1141.33333333333,12203.333333333301,0.582413264333333,0.0470961713333333,0.0799840043333333,423.333333333333,376.666666666667,3.6666666666666696,21.6666666666667,19010.6666666667,1459.66666666667,330.66666666666697,68.3333333333333,177.0,365.666666666667,22482.0,63.6666666666667,0,139.0,33.3333333333333,15.0,251.0,1.6666666666666698,95.0,32.6666666666667,6.33333333333333,154.333333333333,333.0,738.333333333333,75.3333333333333,30.3333333333333,24.6666666666667,128.333333333333,27362.0,31435
MAIWAR,79731000,GRN,Marginal,3.25,-3.25,56,46006.0,0.20349519600000002,0.701821502,0.09463983,420.0,2611.0,46006.0,1.531649314,4622.0,1527.0,12409.0,3050.0,3088.0,225,418.0,3733.0,0.596992807,0.039144107000000004,0.06462572700000001,1238.0,2655.0,13.0,113.0,11887.0,1157.0,43.0,1093.0,164.0,2008.0,20777.0,318.0,0,51.0,32.0,22.0,438.0,0.0,84.0,79.0,53.0,231.0,190.0,855.0,81.0,30.0,17.0,125.0,25879.0,34467
MANSFIELD,49986786,ALP,Marginal,3.24,3.24,49,46906.0,0.257088645,0.596938558,0.145994116,400.0,1957.0,46906.0,1.811772358,2688.0,963.0,7905.0,3621.0,4737.0,361,643.0,5740.0,0.571023793,0.04175174,0.072669695,57.0,2405.0,3.0,33.0,13548.0,1153.0,137.0,136.0,103.0,447.0,18251.0,72.0,0,34.0,0.0,0.0,106.0,0.0,252.0,123.0,33.0,413.0,138.0,656.0,32.0,20.0,10.0,61.0,22259.0,35925
MAROOCHYDORE,4921000,LNP,Safe,17.03,-17.03,50,52691.0,0.19375225399999998,0.604904063,0.201134919,350.0,1468.0,52691.0,1.634988041,1355.0,884.0,6077.0,4476.0,8929.0,499,989.0,10414.0,0.535871986,0.045967468,0.07049854700000001,43.0,456.0,0.0,19.0,16635.0,1056.0,180.0,316.0,208.0,958.0,20062.0,4.0,0,45.0,0.0,0.0,58.0,0.0,11.0,18.0,14.0,46.0,155.0,256.0,14.0,26.0,10.0,53.0,24630.0,32490
MARYBOROUGH,6612240,ALP,Marginal,4.92,4.92,51,51102.0,0.22623380699999998,0.531701303,0.24190834,240.0,1080.0,51102.0,1.772302002,359.0,408.0,2317.0,2747.0,8897.0,733,883.0,10509.0,0.498195341,0.056327245,0.122826206,7.0,136.0,0.0,28.0,10745.0,853.0,249.0,179.0,108.0,507.0,12978.0,0.0,0,4.0,0.0,0.0,7.0,0.0,10.0,9.0,3.0,22.0,109.0,133.0,0.0,8.0,0.0,9.0,16038.0,32436
