SED_CODE_2016,Electorate,Tot_P_M,Tot_P_F,Tot_P_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P
SED30019,Capalaba,23399,23960,47361,530,591,1118,36,19,60,17,43,60,581,654,1234,17697,17972,35670,4694,4993,9681,20912,21176,42086,1614,1914,3527,20392,20912,41299
SED30020,Chatsworth,24904,26242,51151,284,337,625,14,22,34,17,16,34,319,375,694,17495,18367,35861,6314,6821,13134,19864,20544,40411,4012,4717,8734,21347,22578,43924
SED30021,Clayfield,25560,26671,52226,251,284,535,32,28,58,10,13,25,297,325,620,17524,18399,35922,6169,6456,12628,20082,20893,40976,3623,4018,7639,20587,21550,42137
SED30022,Cleveland,24351,25929,50283,508,563,1074,23,25,45,30,25,57,567,615,1180,16909,17793,34706,6231,6754,12978,21561,22654,44217,1633,2010,3647,20863,22192,43059
SED30023,Condamine,28821,28577,57395,1229,1191,2417,31,26,55,31,31,63,1292,1248,2542,23864,23790,47657,2732,2658,5381,25156,25218,50369,1689,1502,3189,25281,25284,50566
SED30024,Cook,26287,25357,51639,3986,4201,8185,3425,3394,6817,1871,1922,3793,9278,9517,18797,20493,19487,39982,2989,3253,6241,16391,15408,31802,6942,7252,14192,22491,21576,44064
SED30025,Coomera,36454,38192,74650,753,799,1552,51,38,93,33,41,71,840,881,1719,23602,24377,47976,9854,10836,20684,30543,31801,62344,3104,3621,6725,28122,29483,57601
SED30026,Currumbin,23659,24862,48520,475,485,966,37,28,59,30,27,60,542,546,1087,17700,18275,35975,4120,4707,8821,20797,21701,42494,1210,1485,2689,20267,21173,41441
SED30027,Dalrymple,24740,23708,48456,1744,1401,3148,223,123,340,248,157,408,2218,1681,3898,19587,18476,38064,2479,2708,5185,20564,20450,41011,921,1069,1989,20570,20455,41029
SED30028,Everton,22466,23727,46194,304,320,626,35,35,69,20,23,45,361,377,738,17352,18361,35710,4235,4459,8694,19905,20826,40731,1725,2061,3783,19995,21094,41093
SED30029,Ferny Grove,22580,23144,45719,326,309,635,40,34,74,11,8,24,380,349,730,17812,18214,36022,3886,4027,7910,20456,20838,41301,1298,1514,2810,20429,20927,41359
SED30030,Gaven,28598,29861,58463,521,560,1083,22,23,42,23,21,48,566,606,1169,19385,20017,39406,7476,8046,15522,24311,25104,49411,2706,3103,5808,23002,24026,47029
SED30031,Gladstone,28442,27173,55616,989,1029,2019,35,44,80,98,100,200,1121,1180,2300,22045,21084,43124,4129,4042,8174,24506,23463,47972,1821,1836,3649,24030,22867,46901
SED30032,Glass House,27887,27495,55380,834,609,1443,47,30,83,39,31,63,921,670,1590,21656,20910,42566,4251,4639,8895,24154,24518,48678,982,1229,2213,23638,23970,47611
SED30033,Greenslopes,22909,24419,47328,258,257,514,23,34,64,22,25,46,308,313,624,16612,17557,34171,5043,5522,10560,18225,19154,37384,3496,3976,7465,19317,20561,39875
SED30034,Gregory,21543,19956,41497,1316,1289,2602,50,35,86,69,77,148,1437,1396,2836,16885,15811,32700,1871,1938,3813,18182,17124,35307,815,857,1670,17956,16848,34806
SED30035,Gympie,24399,24902,49300,775,702,1475,45,49,94,33,35,73,861,790,1646,19612,19711,39321,2632,3044,5672,21889,22303,44198,573,765,1340,21481,22001,43487
SED30036,Hervey Bay,25362,27672,53035,943,1001,1948,44,39,85,51,38,85,1038,1080,2120,18972,20509,39482,4265,4981,9241,22479,24392,46876,976,1312,2291,22018,24047,46067
SED30037,Hinchinbrook,27038,25748,52783,1208,1149,2361,200,158,357,140,146,279,1543,1456,2996,21778,20442,42223,2840,3168,6008,23476,22396,45875,1437,1563,2998,23768,22560,46331
SED30038,Inala,29987,28512,58495,1284,1051,2332,81,52,132,67,73,138,1428,1175,2604,17466,15384,32852,10239,10771,21006,15719,15689,31406,9506,10274,19780,21350,21617,42967
SED30039,Indooroopilly,24319,25630,49953,108,96,203,17,12,34,7,6,16,135,122,256,14705,15249,29955,8378,9122,17499,17323,17842,35161,5794,6557,12352,18060,18754,36815
SED30040,Ipswich,25532,26592,52119,1179,1128,2305,61,48,111,64,59,120,1301,1236,2535,20740,21599,42338,3051,3219,6276,22580,23495,46070,1369,1484,2846,22355,23370,45729
SED30041,Ipswich West,27287,27823,55108,1225,1239,2467,56,38,93,42,38,74,1321,1312,2638,22141,22524,44662,3043,3213,6260,24312,24925,49238,850,1029,1882,23870,24502,48372
SED30042,Kallangur,26005,27143,53146,612,704,1318,20,22,41,35,41,76,666,768,1440,19760,20501,40258,4816,5110,9925,22974,23735,46708,1666,1959,3630,22324,23278,45607
