"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Part_time_Employ","Employ_away_from_work","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment","Margin","isALP","ALP_Safety_Ranking","TotalEstimatedCost"
"18","CONDAMINE",57395,0.295147660946075,0.559909399773499,0.145099747364753,255,1626,57395,2.10230752405949,837,520,4113,3301,9102,645,847,10594,0.596901131333005,0.288279108987422,0.0550207293935774,8,131,0,20,18274,1439,451,129,215,866,21713,3,0,4,0,0,3,0,5,3,3,19,166,190,3,3,10,15,26761,35860,0.198050646186114,0,5,5256880
"19","COOK",51639,0.290865431166366,0.581304827746471,0.127849106295629,150,1302,51639,1.5499271619653,519,432,2906,2575,7557,872,728,9154,0.574500136948781,0.266365379348124,0.0616726011138501,0,264,0,41,10700,1428,200,371,384,2788,16351,3,0,3,0,0,3,0,6,8,9,30,179,216,3,10,15,27,19778,33081,0.116746031746032,1,0,102876437
"20","COOMERA",74650,0.289457468184863,0.5663496316142,0.144286671131949,395,1636,74650,1.87480705852906,1322,690,5529,5822,11543,739,1412,13700,0.582688108000794,0.292804673983947,0.0450665078419694,523,223,8,26,22859,1761,338,79,270,415,26753,91,0,183,43,14,334,5,22,18,4,60,212,607,104,18,7,123,32455,35785,0.0694278598478387,0,4,72009000
"21","COOPER",46556,0.277150098805739,0.602715009880574,0.120048973279491,400,2502,46556,1.75442941512669,3299,1539,9563,3622,4097,306,504,4904,0.598198475633228,0.308953730079298,0.0408037570251751,840,2241,0,41,13517,1188,81,613,127,974,19971,155,0,105,23,13,300,3,149,82,23,259,165,721,48,20,13,83,24631,32116,0.212949506817971,1,0,5000000
"22","EVERTON",46194,0.269948478157336,0.594752565268217,0.135385547906655,385,2173,46194,1.8852099893597,1649,1035,6635,4142,6360,346,648,7348,0.605545301025017,0.301025016690885,0.0424144837607509,1150,686,7,32,15315,1005,158,236,122,369,19379,139,0,483,64,21,705,0,82,42,3,126,141,974,77,12,9,95,24170,31542,0.0988291266335073,0,4,18045333
"23","FERNY GROVE",45719,0.286248605612546,0.574465758218684,0.139088781469411,380,2192,45719,2.01390653205857,1870,1225,6931,3960,5993,322,696,7010,0.580893042575286,0.319003115264798,0.0466458982346833,1754,139,0,25,13485,961,164,153,109,271,17369,141,0,665,135,39,973,0,45,16,3,63,157,1195,100,4,8,120,22789,31706,0.0926474375482874,1,1,53094182
"24","GAVEN",58463,0.280433778629218,0.589381318098626,0.130150693601081,395,1665,58463,1.97975687103594,1025,643,4759,4684,9875,562,1009,11445,0.568963241602323,0.31782485316439,0.0434567412393585,243,231,9,23,20623,1462,305,74,184,291,23674,63,0,104,24,15,199,23,12,32,6,71,170,441,52,12,9,70,28187,34274,0.0142738463862246,1,2,6993000
"25","GLADSTONE",55616,0.29594001726122,0.610417865362486,0.0936600978135788,250,2023,55616,1.89593004426212,629,511,3814,2824,10946,678,715,12339,0.592175777063237,0.248338692390139,0.0498749553411933,3,560,3,54,16535,1270,124,149,151,601,19971,0,0,7,0,0,4,0,18,6,5,170,538,715,3,637,18,656,24923,33600,0.413932751253948,1,0,46635000
"26","GLASS HOUSE",55380,0.25061394005056,0.568562657999278,0.180859516070784,320,1459,55380,2.10013877324452,991,802,4302,4265,9479,631,962,11068,0.531450980392157,0.343764705882353,0.0538039215686274,366,135,4,14,15100,1141,508,54,161,627,18276,41,0,137,26,16,223,0,6,9,6,20,157,400,69,8,10,81,23690,34983,0.0685712299725437,0,4,3000000
"27","GREENSLOPES",47328,0.240639790398918,0.639156524678837,0.120330459770115,370,2316,47328,1.63942140118508,3065,1410,9824,3601,4690,337,551,5576,0.610667065063121,0.292037050870247,0.0432135653992679,358,3425,3,54,14292,1134,75,506,138,482,20734,125,0,58,16,7,204,0,189,100,32,326,184,714,35,27,10,74,25323,35784,0.202698277555832,1,0,21931000
"28","GREGORY",41497,0.29098489047401,0.607080029881678,0.102055570282189,150,1924,41497,1.94515885022693,350,329,2622,1890,6412,496,528,7432,0.656713579307722,0.229269684290605,0.0635697984024344,4,581,0,20,11389,1102,203,167,257,1605,15447,0,0,0,0,0,0,0,85,9,6,98,119,219,0,4,19,23,19971,35916,0.278798787419477,0,5,32100000
"29","GYMPIE",49300,0.238458417849899,0.540283975659229,0.221095334685598,255,1163,49300,1.82737230356544,521,485,2898,3240,8446,657,846,9952,0.502431364603384,0.349204741160977,0.0564279201701955,7,148,0,17,11801,964,318,57,143,567,14148,5,0,8,0,0,16,0,10,5,3,23,96,127,0,8,4,16,17920,31792,0.173618762789233,0,5,6999000
"30","HERVEY BAY",53035,0.220910719336287,0.497916470255492,0.281191665881022,290,1093,53035,1.59500252397779,641,602,3435,3437,8952,607,1005,10565,0.481239296278997,0.347812548653277,0.0513259639836006,5,121,0,25,11608,1003,159,196,129,491,13912,3,0,6,0,0,4,0,7,6,3,22,150,175,4,8,4,16,16967,32809,0.181994615914356,0,5,50600000
"31","HILL",48456,0.26706702988278,0.555122172692752,0.177769522866105,200,1427,48456,1.85023526498266,561,443,3106,2520,7486,526,690,8705,0.574110953058321,0.288383119962067,0.0630156472261735,6,279,3,13,11939,1160,234,93,213,1111,15174,0,0,0,0,0,4,0,40,10,3,50,114,163,0,6,8,16,19520,31573,0.394999360532037,0,5,1800000
"32","HINCHINBROOK",52783,0.258568099577515,0.580205748062823,0.16139666180399,275,1535,52783,1.90482705779335,488,426,3235,2892,9897,529,685,11115,0.596434234443284,0.275554008585683,0.0562323548748888,3,477,0,18,16426,1362,300,134,295,781,20019,0,0,4,0,0,3,0,28,14,0,51,151,208,0,7,11,19,23999,30336,0.151054733048302,0,5,5113000
"33","INALA",58495,0.28581930079494,0.612479699119583,0.101940336780921,310,1377,58495,1.77731748318924,1063,470,4107,3340,6704,585,752,8033,0.557690761437646,0.284152126718662,0.048484361180349,887,453,0,29,14657,1533,205,101,102,265,18442,191,0,296,63,21,573,0,38,35,7,84,149,803,81,8,6,103,22143,32139,0.521863326741375,1,0,5689000
"34","IPSWICH WEST",55108,0.290284532191333,0.572856935472164,0.136949263264862,289,1484,55108,1.9438089392333,638,530,3172,3489,9247,689,900,10836,0.583353255239461,0.28448481950753,0.0494063271973862,343,120,0,16,16204,1099,356,70,123,375,18919,63,0,303,47,11,412,0,17,11,3,30,150,599,64,4,4,68,23025,32890,0.174329835814132,1,0,8700000
"35","JORDAN",59561.6,0.298188687935832,0.595602411607407,0.106300099826034,334,1597.4,59561.6,1.98495319912694,1126,517.4,4327.6,3799.2,8619.4,642,891.2,10152.6,0.587728466558068,0.276236661660544,0.0493898875780454,614.4,509.8,2,24.8,17842.6,1552.2,377.6,62.8,139.6,310.6,21665.2,109.8,0,268,51.4,15.6,445.8,0,81.6,45.2,8.6,137.6,163.2,746.4,74.4,9.4,6.8,95.2,26121.4,35960,0.198131176999101,1,0,9230000
"36","KAWANA",53503,0.263050670055885,0.531689811786255,0.205147374913556,415,1521,53503,1.76890263410472,987,676,4952,4094,9068,556,998,10621,0.527064732142857,0.352519132653061,0.0467952806122449,57,306,5,17,16254,1050,204,252,197,403,18886,14,0,67,7,7,90,0,9,28,5,34,155,284,15,14,12,43,23246,33285,0.261443298969072,0,5,8008000
"37","KEPPEL",54580,0.26987907658483,0.573671674606083,0.156430927079516,300,1657,54580,1.87181580666231,887,711,4247,3043,9119,618,737,10472,0.577151335311573,0.290572928555124,0.0526516016130259,12,443,0,32,16991,1486,235,106,129,540,20158,0,0,3,0,0,3,0,33,24,5,60,119,186,0,12,8,17,24191,31885,0.0627528398977313,1,1,5700000
"38","KURWONGBAH",53146,0.287585142814135,0.589602227825236,0.122944342001279,345,1651,53146,1.87859263824304,706,599,3768,3988,9325,593,876,10797,0.597282568672214,0.279843876574122,0.0458060240076589,1237,212,3,22,16687,1198,301,70,139,259,20409,213,0,390,101,39,745,0,37,7,3,46,164,951,97,10,5,110,25061,34345,0.139865572330868,1,0,5000000
"39","LOCKYER",55221,0.279241592872277,0.579344814472755,0.141522246971261,285,1542,55221,2.17509795894497,652,456,3241,3296,8863,640,850,10357,0.579953917050691,0.292511520737327,0.0550691244239631,102,122,3,8,16527,1448,553,27,139,488,19603,10,0,142,25,3,182,0,37,11,0,49,133,359,21,13,3,44,24150,29974,0.0814579594090847,0,5,11762000
"40","LOGAN",50214,0.294798263432509,0.592663400645238,0.112617994981479,365,1652,50214,2.20868459788572,514,361,2775,3055,8765,537,821,10133,0.599264124070264,0.274410507991771,0.0495331539800601,88,485,0,18,16461,1213,609,41,137,239,19468,34,0,116,15,3,165,0,163,66,12,243,139,550,28,12,6,48,23340,34983,0.136521034406542,1,0,3960000
"41","MACALISTER",63558.6666666667,0.277557514265082,0.56488062861338,0.157550538346204,373.333333333333,1603,63558.6666666667,1.8551815502615,998.333333333333,615.666666666667,4483.66666666667,4638.66666666667,10359.6666666667,697,1141.33333333333,12203.3333333333,0.582413264287371,0.290577089949616,0.0470961712186953,423.333333333333,376.666666666667,3.66666666666667,21.6666666666667,19010.6666666667,1459.66666666667,330.666666666667,68.3333333333333,177,365.666666666667,22482,63.6666666666667,0,139,33.3333333333333,15,251,1.66666666666667,95,32.6666666666667,6.33333333333333,154.333333333333,333,738.333333333333,75.3333333333333,30.3333333333333,24.6666666666667,128.333333333333,27362,31838,0.148982010126037,1,0,10320000
"42","MAIWAR",46006,0.203495196278746,0.701821501543277,0.0946398295874451,420,2611,46006,1.53164931377189,4622,1527,12409,3050,3088,225,418,3733,0.596992807315574,0.299309646871724,0.0391441066975097,1238,2655,13,113,11887,1157,43,1093,164,2008,20777,318,0,51,32,22,438,0,84,79,53,231,190,855,81,30,17,125,25879,32128,0.0325152218944196,0,4,79731000
"43","MANSFIELD",46906,0.257088645375858,0.596938557966998,0.145994115891357,400,1957,46906,1.81177235772358,2688,963,7905,3621,4737,361,643,5740,0.571023792658027,0.314846451935497,0.041751739655819,57,2405,3,33,13548,1153,137,136,103,447,18251,72,0,34,0,0,106,0,252,123,33,413,138,656,32,20,10,61,22259,36154,0.0324457218047716,1,2,49986786
"44","MAROOCHYDORE",52691,0.193752253705566,0.60490406331252,0.201134918676814,350,1468,52691,1.63498804119686,1355,884,6077,4476,8929,499,989,10414,0.535871985507793,0.347926180322301,0.045967468015247,43,456,0,19,16635,1056,180,316,208,958,20062,4,0,45,0,0,58,0,11,18,14,46,155,256,14,26,10,53,24630,35925,0.170323855217667,0,5,4921000
"45","MARYBOROUGH",51102,0.226233806896012,0.531701303275801,0.24190834018238,240,1080,51102,1.77230200174064,359,408,2317,2747,8897,733,883,10509,0.498195340697802,0.322869955156951,0.0563272448867986,7,136,0,28,10745,853,249,179,108,507,12978,0,0,4,0,0,7,0,10,9,3,22,109,133,0,8,0,9,16038,32490,0.0492272467086434,1,2,6612240
"46","MCCONNEL",62513,0.127109561211268,0.787148273159183,0.0856461855933966,430,2322,62513,1.12621398347774,5645,1814,15961,4756,4677,442,671,5793,0.619467632698063,0.266341156087573,0.0383787473092876,1693,4329,13,201,12211,1360,64,1106,280,7537,29386,363,4,50,22,36,482,0,63,69,84,263,170,919,81,53,18,158,35206,33009,0.157292312178763,1,0,124760000
"47","MIRANI",53528,0.266141085039605,0.608223733373188,0.125653863398595,200,1799,53528,2.06228435455086,327,354,2457,2185,9834,561,693,11087,0.617457231726283,0.249805598755832,0.0614696734059098,4,629,0,12,15332,1164,310,111,216,896,18818,0,0,4,0,0,7,0,79,14,5,101,140,251,0,9,8,21,23876,34975,0.0963019496288073,0,4,268500000
"48","MOGGILL",47419,0.287374259263165,0.556085113562074,0.156456272802041,440,2446,47419,2.04476234425473,4267,1432,9527,3940,3910,293,642,4849,0.570139392474418,0.331036983321247,0.0396825396825397,226,1226,0,26,14249,980,114,385,112,314,17896,131,0,347,55,3,544,0,183,67,20,269,231,1044,68,25,12,104,23357,33074,0.10064212190636,0,5,6492500
"49","MORAYFIELD",55741,0.311189250282557,0.577420570136883,0.111641341203064,330,1560,55741,1.99004975124378,486,474,3025,3845,9981,683,891,11555,0.563416960093897,0.30193661971831,0.0487089201877934,1003,132,6,17,16599,1452,384,61,147,292,20337,110,0,309,86,46,553,0,11,14,5,30,162,738,106,5,7,116,24924,33186,0.17449008102822,1,0,70915061
"50","MOUNT OMMANEY",46446,0.264866726951729,0.592085432545321,0.143155492399776,400,2177,46446,1.85855792114234,2893,1172,8310,3814,4792,327,659,5785,0.595982322217758,0.303093611892326,0.0415026114905585,1553,565,3,39,14370,994,99,296,134,315,18592,300,0,420,94,35,849,0,55,47,6,111,170,1130,107,10,8,128,23407,32543,0.115168357784528,1,0,14334000
"51","MUNDINGBURRA",44724,0.273656202486361,0.58228244343082,0.143971916644307,300,1660,44724,1.75100295955278,1318,622,4697,2768,6416,503,508,7430,0.547839783978398,0.302610261026103,0.0502250225022502,7,256,0,45,14025,1289,90,442,151,468,17041,4,0,0,0,0,8,0,16,28,13,58,143,206,0,9,11,15,20015,32323,0.0225391478840434,1,2,52000000
"52","MURRUMBA",73389,0.303505975009879,0.565057433675346,0.131600103557754,360,1653,73389,1.83092887876487,1179,776,5762,5479,11608,812,1158,13579,0.587611622962438,0.280311835577605,0.0490999291282778,732,345,0,49,21928,1855,368,95,203,455,26371,177,0,592,94,13,880,0,28,33,3,70,201,1150,122,11,4,143,32344,32802,0.190409939495907,1,0,36454000
"53","NANANGO",50313,0.251942837835152,0.532764891777473,0.215391648281756,230,1221,50313,1.91556105239487,450,435,2882,2968,8000,669,877,9539,0.561781470389334,0.310404791807555,0.0574823688532509,10,138,0,14,12153,967,328,87,154,882,14876,0,0,31,3,0,38,0,8,4,4,20,82,138,3,0,6,13,19243,33077,0.26724275373872,0,5,15700001
"54","NICKLIN",51460,0.248289933929265,0.557811892732219,0.19387874076953,330,1415,51460,1.89674460230451,865,710,4351,4114,9066,548,898,10516,0.515632232274353,0.359394066905113,0.0499894803282138,48,206,0,21,15196,1004,306,49,181,562,17736,7,0,37,0,3,50,0,11,18,3,30,150,234,4,16,13,38,21987,35282,0.105568866623103,0,5,9040000
"55","NINDERRY",59561.6,0.298188687935832,0.595602411607407,0.106300099826034,334,1597.4,59561.6,1.98495319912694,1126,517.4,4327.6,3799.2,8619.4,642,891.2,10152.6,0.587728466558068,0.276236661660544,0.0493898875780454,614.4,509.8,2,24.8,17842.6,1552.2,377.6,62.8,139.6,310.6,21665.2,109.8,0,268,51.4,15.6,445.8,0,81.6,45.2,8.6,137.6,163.2,746.4,74.4,9.4,6.8,95.2,26121.4,35052,0.16756647320826,0,5,16860000
"56","NOOSA",52125,0.230848920863309,0.534829736211031,0.234455635491607,400,1468,52125,1.80634452231649,1420,924,6018,4850,8083,442,1077,9608,0.497975537747786,0.391353859131168,0.0449599325179249,45,333,5,24,14171,1020,175,189,254,640,17070,0,0,25,0,0,23,0,11,30,7,54,133,211,6,9,8,28,22156,31265,0.230575611048553,0,5,12984000
"57","OODGEROO",50283,0.247260505538651,0.556987451027186,0.195652606248633,400,1914,50283,1.86921211437595,1379,816,5322,4618,7778,438,933,9147,0.589872227012621,0.312495100729012,0.0410362937994826,882,311,3,27,16050,1058,202,108,185,447,19478,68,0,178,44,22,320,0,52,29,3,85,235,639,58,15,23,92,24076,30722,0.144720720720721,0,5,7763000
"58","PINE RIVERS",53732,0.2865517754783,0.59780019355319,0.1156852527358,350,1825,53732,1.97608633910821,974,713,4691,4332,9009,587,818,10416,0.598764342453663,0.286990291262136,0.0484377758164166,1269,206,3,17,17222,1190,290,96,149,378,21149,155,0,538,86,37,812,0,48,24,8,76,164,1054,104,4,6,114,26462,34505,0.123764966604081,1,0,19100000
"59","PUMICESTONE",54770,0.215957641044367,0.505513967500456,0.278510133284645,300,1179,54770,1.6310121339116,593,496,2979,3703,9179,664,993,10840,0.51074299634592,0.322923264311815,0.0551522533495737,374,181,0,10,11847,1149,259,110,140,399,14629,59,0,191,19,14,283,0,11,22,4,36,113,435,50,5,0,55,18244,35007,0.0167597765363128,0,3,7645000
"60","REDCLIFFE",49437,0.211622873556243,0.55970224730465,0.228452373728179,310,1468,49437,1.6006287687471,938,646,4044,3909,8116,505,938,9557,0.558558160106148,0.305970809376382,0.0514816452896948,256,309,0,31,13441,1004,175,144,154,636,16387,160,0,430,45,9,652,0,20,31,12,61,145,858,95,13,8,114,20703,31022,0.0971089212295242,1,1,502850000
"61","REDLANDS",51755,0.256709496666989,0.548855183074099,0.194338711235629,395,1754,51755,1.93520249221184,964,670,4233,4205,9356,528,950,10838,0.578586412780378,0.311118283040181,0.0472406002904631,111,419,0,10,15726,961,335,54,134,341,18307,14,0,117,12,3,142,0,155,33,5,240,600,985,43,66,61,171,23223,35530,0.0611365472663614,1,1,9900000
"62","ROCKHAMPTON",49573,0.277610796199544,0.565247211183507,0.157182337159341,270,1485,49573,1.65626094059984,664,517,3377,2261,7687,663,616,8959,0.570000869036239,0.279351698965847,0.0520552707047884,4,292,0,83,14247,1477,222,208,89,726,17544,0,0,4,0,0,13,0,31,14,0,41,142,198,0,4,4,13,20742,32804,0.10378534409237,1,0,9700000
"63","SANDGATE",49956,0.248338537913364,0.593522299623669,0.158239250540476,365,1857,49956,1.70223560238613,1556,870,6080,4093,7142,426,732,8299,0.59608100796166,0.294001700548813,0.0465718481873696,1749,772,7,39,14854,1107,188,139,116,352,19595,215,0,445,71,46,785,0,32,52,8,95,144,1025,84,9,8,101,24231,35259,0.269646490335707,1,0,956766000
"64","SCENIC RIM",58081,0.272447099740018,0.563247877963534,0.16416728362115,320,1544,58081,2.10583669997874,848,612,3859,4023,9623,664,1039,11323,0.580149029108395,0.304995778732151,0.0554270821862497,53,128,0,11,17413,1094,535,44,177,640,20287,5,0,106,13,0,129,0,86,13,3,104,147,377,25,4,7,37,25622,32074,0.262477306749052,0,5,11739000
"65","SOUTH BRISBANE",55671,0.159185213127122,0.74606168382102,0.0946094016633436,400,2169,55671,1.30482629983679,5312,1608,13452,4153,4534,352,592,5474,0.590464293150115,0.294875226792778,0.0380714434430862,607,4521,3,140,12532,1228,66,1562,224,3570,25647,227,0,23,16,17,286,0,86,87,91,375,282,949,84,46,24,159,31048,32624,0.0710457210691032,1,1,320746000
"66","SOUTHPORT",59729,0.214552394984011,0.614508865040433,0.170838286259606,365,1422,59729,1.58747802954729,2113,668,6657,4872,8058,498,1031,9583,0.519509017348968,0.34399643420421,0.0436124254268669,233,419,581,52,17095,1547,134,306,203,1179,22006,70,10,80,14,3,181,104,13,15,15,155,245,577,63,33,26,121,26456,34867,0.144869670031641,0,5,14911000
