SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30045,21735,22037,43772,9742,5357,15102,2307,5315,7617,708,725,1434,955,932,1890,13711,12325,26040,6423,8098,14528,7,7.6,7.3,63.1,55.9,59.5,58.7,51.7,55.2,295,353,652,135,321,456,1092,2147,3241,1267,2027,3296,5989,2876,8863,227,412,640,361,496,850,6575,3777,10357,20830,20656,41487,3972,4278,8252,13762,13471,27236,9688,10219,19905
SED30046,19415,19837,39252,9703,5442,15147,2192,4745,6936,652,599,1252,964,971,1936,13513,11762,25276,4797,6930,11729,7.1,8.3,7.7,69.6,59.3,64.4,64.6,54.4,59.4,243,272,514,113,255,361,995,1783,2775,1135,1920,3055,5936,2827,8765,182,354,537,322,499,821,6445,3684,10133,19635,19706,39339,3243,3299,6542,13490,13253,26736,8356,8833,17187
SED30047,19026,20827,39857,9412,6001,15408,2251,5108,7363,517,690,1205,893,754,1650,13073,12548,25624,4907,7197,12104,6.8,6,6.4,68.7,60.2,64.3,64,56.7,60.2,692,752,1439,282,562,846,2337,3336,5677,1624,2333,3958,4846,2288,7134,166,240,411,313,521,835,5330,3057,8378,18171,19360,37531,3711,3971,7685,11420,12251,23666,9626,10274,19900
SED30048,17680,17678,35360,8098,4484,12581,1683,4042,5721,565,501,1065,1248,1001,2250,11587,10024,21614,4343,6444,10784,10.8,10,10.4,65.5,56.7,61.1,58.5,51.1,54.8,219,264,486,123,286,412,1111,1999,3108,877,1348,2229,5710,2276,7989,140,293,439,214,332,546,6064,2909,8967,15656,15814,31464,3376,3636,7015,10340,10230,20566,7904,8451,16355
SED30049,18398,19870,38269,8475,5229,13704,2613,4942,7556,422,579,1002,875,870,1744,12383,11618,23999,5105,7394,12494,7.1,7.5,7.3,67.3,58.5,62.7,62.6,54.1,58.2,1393,1294,2688,357,603,963,3554,4348,7905,1664,1957,3621,3273,1465,4737,124,236,361,223,424,643,3623,2120,5740,17264,18343,35601,3786,4126,7912,11092,11846,22934,9259,9873,19139
SED30050,21423,23679,45101,8725,5472,14199,3032,6186,9219,601,609,1218,980,889,1868,13342,13154,26497,6350,8670,15021,7.3,6.8,7,62.3,55.6,58.8,57.7,51.8,54.6,620,729,1355,308,573,884,2493,3583,6077,1811,2668,4476,6019,2911,8929,176,322,499,367,621,989,6563,3852,10414,17517,18856,36373,5077,5535,10616,9956,10607,20562,12106,13291,25402
SED30051,21270,21100,42373,5765,3344,9110,1909,3996,5904,511,517,1030,1309,940,2246,9493,8797,18286,9996,10640,20636,13.8,10.7,12.3,44.6,41.7,43.2,38.5,37.2,37.9,162,198,359,117,287,408,759,1559,2317,1074,1677,2747,6100,2792,8897,267,466,733,370,510,883,6742,3774,10509,19216,19272,38486,3309,3578,6888,13268,13038,26309,8394,8880,17273
SED30052,21533,23754,45280,9471,6155,15624,3293,6155,9450,544,652,1190,911,910,1823,14217,13870,28085,5791,8156,13949,6.4,6.6,6.5,66,58.4,62,61.8,54.6,58,975,950,1927,258,451,709,3047,3914,6962,1958,2911,4868,4989,2409,7403,140,244,382,383,601,988,5516,3255,8773,18279,19648,37928,4939,5436,10377,10725,11573,22294,11943,12976,24921
SED30053,22833,19693,42530,10979,4901,15881,1720,4699,6425,856,717,1581,992,856,1839,14549,11172,25720,5407,6772,12179,6.8,7.7,7.2,63.7,56.7,60.5,59.4,52.4,56.2,151,173,327,104,250,354,707,1752,2457,787,1396,2185,7252,2580,9834,199,361,561,251,437,693,7703,3383,11087,20834,19049,39875,3215,3308,6523,14090,12334,26427,8576,8736,17311
SED30054,18003,19420,37424,8899,5255,14152,2588,5629,8217,429,557,985,781,688,1468,12697,12132,24822,4594,6476,11073,6.2,5.7,5.9,70.5,62.5,66.3,66.2,58.9,62.4,2395,1876,4267,513,925,1432,4353,5176,9527,1717,2227,3940,2671,1237,3910,89,208,293,235,407,642,2999,1851,4849,18884,19759,38645,2928,3048,5974,13055,13535,26593,8058,8515,16578
